Date,Open,High,Low,Close
2016-12-26,1.2285,1.23,1.2266,1.2286
2016-12-27,1.2287,1.229,1.224,1.2271
2016-12-28,1.227,1.2297,1.2199,1.2226
2016-12-29,1.2224,1.2294,1.2209,1.2263
2016-12-30,1.2267,1.2389,1.2247,1.2345
2017-01-02,1.2345,1.2357,1.2274,1.2278
2017-01-03,1.2277,1.2308,1.2201,1.2237
2017-01-04,1.2239,1.2351,1.2221,1.2321
2017-01-05,1.2323,1.2433,1.2271,1.2419
2017-01-06,1.2415,1.243,1.2261,1.2285
2017-01-09,1.2285,1.2285,1.2125,1.2162
2017-01-10,1.2163,1.2189,1.2108,1.2177
2017-01-11,1.2176,1.2269,1.2038,1.2213
2017-01-12,1.2211,1.2316,1.2152,1.2163
2017-01-13,1.2162,1.2233,1.2122,1.2183
2017-01-16,1.2183,1.2183,1.1988,1.2046
2017-01-17,1.2051,1.2416,1.2018,1.2414
2017-01-18,1.2413,1.2416,1.2254,1.2261
2017-01-19,1.226,1.2343,1.2254,1.2341
2017-01-20,1.2342,1.2381,1.2262,1.2376
2017-01-23,1.2376,1.2538,1.2376,1.2536
2017-01-24,1.2537,1.2546,1.2419,1.2521
2017-01-25,1.252,1.2639,1.2492,1.2633
2017-01-26,1.2632,1.2674,1.2557,1.2596
2017-01-27,1.2598,1.2606,1.2519,1.2549
2017-01-30,1.2549,1.2601,1.2466,1.2486
2017-01-31,1.2479,1.2597,1.2412,1.2578
2017-02-01,1.2579,1.268,1.2544,1.2658
2017-02-02,1.266,1.2707,1.2517,1.2528
2017-02-03,1.253,1.2538,1.2459,1.2486
2017-02-06,1.2486,1.2499,1.2428,1.2468
2017-02-07,1.2471,1.2546,1.2348,1.251
2017-02-08,1.2506,1.2549,1.2476,1.254
2017-02-09,1.2539,1.2583,1.2491,1.2496
2017-02-10,1.2497,1.2522,1.244,1.2486
2017-02-13,1.2486,1.254,1.248,1.2526
2017-02-14,1.2518,1.2549,1.2445,1.2467
2017-02-15,1.2468,1.2482,1.2383,1.2462
2017-02-16,1.2456,1.2523,1.2454,1.2487
2017-02-17,1.2489,1.2512,1.2387,1.2412
2017-02-20,1.2412,1.2483,1.2409,1.2463
2017-02-21,1.2464,1.2481,1.2401,1.2472
2017-02-22,1.2473,1.2509,1.2424,1.245
2017-02-23,1.2448,1.256,1.2428,1.2555
2017-02-24,1.2556,1.2571,1.2448,1.246
2017-02-27,1.246,1.2479,1.2384,1.2443
2017-02-28,1.244,1.2471,1.2376,1.2381
2017-03-01,1.2382,1.2405,1.228,1.2292
2017-03-02,1.2293,1.2307,1.2243,1.2268
2017-03-03,1.2267,1.2301,1.2214,1.2297
2017-03-06,1.2297,1.23,1.2224,1.2237
2017-03-07,1.2235,1.2253,1.217,1.2199
2017-03-08,1.22,1.2215,1.214,1.217
2017-03-09,1.2168,1.2195,1.2135,1.2163
2017-03-10,1.2165,1.219,1.214,1.2168
2017-03-13,1.2168,1.2252,1.2156,1.2218
2017-03-14,1.2204,1.2225,1.2109,1.2154
2017-03-15,1.2155,1.2308,1.2146,1.2291
2017-03-16,1.2303,1.2376,1.2241,1.2361
2017-03-17,1.2359,1.2406,1.2324,1.2397
2017-03-20,1.2397,1.2436,1.2336,1.2357
2017-03-21,1.2358,1.2495,1.234,1.2479
2017-03-22,1.2478,1.2506,1.2425,1.2484
2017-03-23,1.2485,1.253,1.2464,1.252
2017-03-24,1.2522,1.2523,1.2469,1.2474
2017-03-27,1.2474,1.2617,1.2474,1.2558
2017-03-28,1.2559,1.2597,1.2441,1.245
2017-03-29,1.2451,1.2476,1.2377,1.2435
2017-03-30,1.2434,1.2524,1.2403,1.247
2017-03-31,1.2468,1.2559,1.2434,1.2548
2017-04-03,1.2548,1.2555,1.2466,1.2487
2017-04-04,1.2486,1.2496,1.2419,1.244
2017-04-05,1.2441,1.2499,1.2423,1.2483
2017-04-06,1.2484,1.2506,1.2451,1.2469
2017-04-07,1.2468,1.2479,1.2365,1.2374
2017-04-10,1.2383,1.2429,1.2366,1.2416
2017-04-11,1.2415,1.2495,1.2404,1.2491
2017-04-12,1.249,1.2549,1.248,1.254
2017-04-13,1.2541,1.2575,1.25,1.2505
2017-04-14,1.2503,1.2536,1.25,1.2525
2017-04-17,1.2525,1.2597,1.2525,1.2565
2017-04-18,1.2564,1.2905,1.2515,1.2841
2017-04-19,1.2842,1.2861,1.277,1.2779
2017-04-20,1.2777,1.2847,1.2772,1.2813
2017-04-21,1.2814,1.2835,1.2761,1.2812
2017-04-24,1.2812,1.2834,1.2772,1.2797
2017-04-25,1.2795,1.2845,1.2775,1.2841
2017-04-26,1.2842,1.2863,1.2805,1.285
2017-04-27,1.2847,1.2915,1.2839,1.2905
2017-04-28,1.2904,1.2966,1.2888,1.2951
2017-05-01,1.2951,1.2951,1.2882,1.2885
2017-05-02,1.2884,1.2941,1.2865,1.2939
2017-05-03,1.2938,1.295,1.2865,1.2867
2017-05-04,1.2865,1.2933,1.2832,1.2924
2017-05-05,1.2923,1.2984,1.29,1.2981
2017-05-08,1.2981,1.2987,1.2929,1.2941
2017-05-09,1.2939,1.2959,1.2902,1.2935
2017-05-10,1.2933,1.2988,1.2927,1.2939
2017-05-11,1.2938,1.295,1.2849,1.2887
2017-05-12,1.2886,1.2901,1.2845,1.2887
2017-05-15,1.2887,1.294,1.2882,1.2895
2017-05-16,1.2896,1.2958,1.2867,1.2915
2017-05-17,1.2931,1.299,1.2906,1.2971
2017-05-18,1.297,1.3048,1.2902,1.2943
2017-05-19,1.2938,1.3041,1.2926,1.3037
2017-05-22,1.3037,1.3043,1.2966,1.3
2017-05-23,1.3001,1.3034,1.2954,1.2961
2017-05-24,1.296,1.3001,1.2926,1.2973
2017-05-25,1.2972,1.3012,1.2932,1.2941
2017-05-26,1.2943,1.2948,1.2777,1.2803
2017-05-29,1.2803,1.2851,1.2803,1.284
2017-05-30,1.2841,1.2889,1.2794,1.286
2017-05-31,1.2859,1.2921,1.277,1.2891
2017-06-01,1.289,1.2916,1.2831,1.2881
2017-06-02,1.2882,1.2905,1.2846,1.2891
2017-06-05,1.2891,1.2941,1.286,1.2903
2017-06-06,1.2905,1.295,1.2872,1.2912
2017-06-07,1.2911,1.2967,1.2887,1.296
2017-06-08,1.2959,1.2978,1.2908,1.2957
2017-06-09,1.2956,1.2957,1.2636,1.2741
2017-06-12,1.2741,1.277,1.2638,1.266
2017-06-13,1.2659,1.2757,1.2642,1.2754
2017-06-14,1.2755,1.2817,1.2723,1.2753
2017-06-15,1.2752,1.2795,1.269,1.2756
2017-06-16,1.2758,1.2806,1.2751,1.2778
2017-06-19,1.2778,1.2814,1.2723,1.2738
2017-06-20,1.2736,1.2758,1.2604,1.2629
2017-06-21,1.2631,1.2711,1.2589,1.2673
2017-06-22,1.2671,1.2692,1.2654,1.2682
2017-06-23,1.2683,1.2744,1.2675,1.2718
2017-06-26,1.2744,1.2759,1.2706,1.2721
2017-06-27,1.2723,1.2855,1.2716,1.2814
2017-06-28,1.2815,1.2972,1.2794,1.2927
2017-06-29,1.2928,1.3011,1.2923,1.3008
2017-06-30,1.3007,1.3031,1.2949,1.3024
2017-07-03,1.3024,1.3024,1.2932,1.2941
2017-07-04,1.294,1.2959,1.2913,1.292
2017-07-05,1.2921,1.2948,1.2895,1.2933
2017-07-06,1.2934,1.2981,1.2919,1.297
2017-07-07,1.2971,1.2976,1.2867,1.2887
2017-07-10,1.2887,1.2909,1.2857,1.2881
2017-07-11,1.2882,1.2927,1.2831,1.2845
2017-07-12,1.2847,1.2907,1.2811,1.2884
2017-07-13,1.2882,1.2953,1.288,1.294
2017-07-14,1.2939,1.3115,1.2935,1.3102
2017-07-17,1.3102,1.3112,1.3047,1.3054
